Unit,,Metric Tons,1 - SPR,Thousand Fish,Metric Tons,Metric Tons,Thousand Fish,Metric Tons,Metric Tons,1 - SPR,Thousand Recruits,Metric Tons,mt,Thousands of Fish
,1952,2078,,,,2078,14008,103359,2078,0.885999978,4857,103502,114227,9305
,1953,4481,,,,4481,20617,97912,4481,0.873000026,20954,97941,107201,21843
,1954,9548,,,,9548,34911,88019,9548,0.921999991,34813,87974,96239,34556
,1955,6266,,,,6266,13343,75353,6266,0.885999978,13442,75360,83288,14106
,1956,6115,,,,6115,33476,67818,6115,0.838999987,33582,67700,76742,34261
,1957,9288,,,,9288,11635,77053,9288,0.893000007,11690,76817,82975,12574
,1958,13944,,,,13944,3203,100943,13944,0.808000028,3195,100683,108677,3436
,1959,3575,,,,3575,7709,136650,3575,0.768000007,7758,136430,147004,7963
,1960,4548,,,,4548,7554,144704,4548,0.825999975,7731,144411,155183,7745
,1961,8028,,,,8028,23235,156534,8028,0.966000021,23339,156302,168125,23323
,1962,10794,,,,10794,10774,141792,10794,0.89200002,10737,141277,151993,10794
,1963,11867,,,,11867,27842,120933,11867,0.931999981,28112,120244,129755,27615
,1964,9093,,,,9093,5689,106314,9093,0.934000015,5696,105870,114448,5827
,1965,6601,,,,6601,10955,93572,6601,0.970000029,10710,93222,100628,11584
,1966,15482,,,,15482,8556,89589,15482,0.999000013,8680,89236,95839,8645
,1967,5549,,,,5549,10951,83751,5549,0.986999989,10897,83208,89204,10803
,1968,5793,,,,5793,14356,77872,5794,0.987999976,14535,77466,83374,13656
,1969,6681,,,,6681,6450,64561,6681,0.915000021,6484,64299,69074,6413
,1970,3892,,,,3892,7182,54181,3892,0.968999982,7027,53961,57958,7120
,1971,7812,,,,7812,12407,47017,7812,0.99000001,12420,46839,49980,12596
,1972,11716,,,,11716,22890,40725,11716,0.996999979,23552,40447,43035,22742
,1973,9718,,,,9718,11251,35510,9714,0.944000006,10968,35273,37205,11058
,1974,5331,,,,5331,13983,28711,5331,0.936999977,13322,28502,29896,13570
,1975,7471,,,,7471,11223,26420,7471,0.920000017,11252,26410,27733,11011
,1976,8698,,,,8698,8071,29152,8698,0.971000016,9253,29274,30485,9171
,1977,3291,,,,3291,25589,35066,3291,0.963,25601,35105,36220,25078
,1978,4674,,,,4674,14317,32974,4674,0.944000006,14037,32219,33382,15057
,1979,5906,,,,5906,12876,27866,5906,0.921000004,12650,27093,28007,11509
,1980,2358,,,,2358,6554,29713,2358,0.948000014,6910,29657,30757,7584
,1981,890,,,,890,13360,27591,891,0.996999979,13340,27928,28867,11703
,1982,2660,,,,2660,6454,24235,2652,1,6512,24240,25408,6965
